Account address,Show boosts,Notify on new posts,Languages
Vuduchick@toad.social,true,false,
w3bguy@infosec.exchange,true,false,
wagenseil@infosec.exchange,true,false,
wald0@infosec.exchange,true,false,
WanderingGlitch@infosec.exchange,true,false,
WanderingGlitch@mastodon.social,true,false,
wbm312@infosec.exchange,true,false,
wdormann@infosec.exchange,true,false,
web3isgreat@indieweb.social,true,false,
webjedi@infosec.exchange,true,false,
Weld@infosec.exchange,true,false,
wendyck@mastodon.social,true,false,
wendynather@infosec.exchange,true,false,
wikipedia@wikis.world,true,false,
wimremes@infosec.exchange,true,false,
window@infosec.exchange,true,false,
wirefall@infosec.exchange,true,false,
Wireghoul@infosec.exchange,true,false,
wirepair@mastodon.social,true,false,
wireshark@ioc.exchange,true,false,
wrw@infosec.exchange,true,false,
wtadler@mastodon.social,true,false,
wuest@hachyderm.io,true,false,
wvu@infosec.exchange,true,false,
wyndepriddy@friendsofdesoto.social,true,false,
Wynter@infosec.exchange,true,false,
XC3LL@mastodon.social,true,false,
xntrik@mastodon.social,true,false,
xor@tech.intersects.art,true,false,
xurizaemon@toot.cafe,true,false,
yaelwrites@mastodon.social,true,false,
yawntor@infosec.exchange,true,false,
yeslikethefood@infosec.exchange,true,false,
yoyoel@macaw.social,true,false,
ytcracker@mastodon.social,true,false,
zackwhittaker@mastodon.social,true,false,
zakir@infosec.exchange,true,false,
zate@infosec.exchange,true,false,
zcopley@mastodon.social,true,false,
zenchicken@infosec.exchange,true,false,
zenchicken@mastodon.social,true,false,
zenofex@mastodon.social,true,false,
zerody@chaos.social,true,false,
zeroSteiner@infosec.exchange,true,false,
